"Group By Year Report for bricerosenzweig"
 
 Time Period,Count,Distance,Time,Elevation Gain,Avg Speed,Avg HR,Avg Run Cadence,Avg Bike Cadence,Calories,
 2013,21,184.43,16:29:42,"1,188",11.2,168,83,--,"13,672",
 2012,162,"1,394.78",122:56:35,"16,176",11.3,169,83,--,"101,466",
 2011,82,633.41,59:43:02,"11,555",10.6,168,81,--,"48,064",
 Summary,265,"2,212.62",199:09:19,"28,919",11.1,169,82,--,"163,201",
