"Group By Year Report for bricerosenzweig"
 
 Time Period,Count,Distance,Time,Elevation Gain,Avg Speed,Avg HR,Avg Run Cadence,Avg Bike Cadence,Calories,
 2013,24,238.15,13:37:32,"1,207",17.5,134,--,74,"7,846",
 2012,262,"2,433.19",133:01:29,"12,488",18.3,134,--,78,"88,003",
 2011,104,966.16,52:30:14,"5,133",18.4,138,--,--,"39,084",
 Summary,390,"3,637.50",199:09:15,"18,828",18.3,135,--,78,"134,932",
